Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Original,Crab-Monster_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,skimmer_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,skimmer_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,flesh_insect_diffuse_red_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,flesh_insect_diffuse_red_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,pack_beast_normal_HI.dds,4096,2048,None,Blend,srgba,33554560
Compressed,pack_beast_normal_HI.dds,2048,1024,DXT5,Blend,srgba,2796368
Original,pack_beast_normal_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,mammal_beak_normal_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,mammal_beak_normal_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,swamp_duck_diffuse.dds,1024,512,None,Blend,srgba,2097280
Original,swamp_duck_diffuse.dds,1024,512,DXT5,Blend,srgba,699216

Detailed,pack_beast_diffuse_HI.dds,4096,2048,None,Blend,srgba,33554560
Compressed,pack_beast_diffuse_HI.dds,2048,1024,DXT5,Blend,srgba,2796368
Original,pack_beast_diffuse_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,Dog_N.dds,1024,1024,None,Blend,srgba,4194432
Original,Dog_N.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Dog_D.dds,1024,1024,None,Blend,srgba,4194432
Original,Dog_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Dog1_Fur_D_LO.dds,256,256,None,Blend,srgba,262272
Original,Dog1_Fur_D_LO.dds,256,256,DXT5,Blend,srgba,87536

Detailed,Big-Bones_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Big-Bones_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crimper_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Compressed,Crimper_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,Crimper_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,frog_gorilla_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,frog_gorilla_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,goat_diffuse_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,goat_diffuse_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,grass_green-01_colormap.dds,1024,1024,None,Blend,srgba,4194432

Detailed,1grass_brown-01_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,1grass_brown-01_diffuse.dds,1024,1024,DXT3,Blend,srgba,1397888

Detailed,grass_green-01_colormap_small.dds,512,512,None,Blend,srgba,1048704

Detailed,grass_green-01_diffusespecular.dds,1024,1024,None,Blend,srgba,4194432

Detailed,22grass_brown-01_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,22grass_brown-01_diffuse.dds,1024,1024,DXT3,Blend,srgba,1397888

Detailed,12121grass_brown-01_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,12121grass_brown-01_diffuse.dds,1024,1024,DXT3,Blend,srgba,1397888

Detailed,212121grass_brown-01_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,212121grass_brown-01_diffuse.dds,1024,1024,DXT3,Blend,srgba,1397888

Detailed,SpriteGrassBrown.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassBrown.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,GrassSpikey01_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,GrassSpikey01_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Trees&VegAtlas01.dds,4096,4096,None,Blend,srgba,67108992
Compressed,Trees&VegAtlas01.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,Trees&VegAtlas01.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Foliage_Hand-Plant01_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Foliage_Hand-Plant01_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Foliage_Hand-Plant01_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,SpriteGrassYellow02.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassYellow02.dds,1024,1024,DXT3,Blend,srgba,1398224

Detailed,TreesAtlas01_Greener.dds,2048,2048,None,Blend,srgba,16777344
Compressed,TreesAtlas01_Greener.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,TreesAtlas01_Greener.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crystal.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Crystal.dds,1024,1024,DXT1,Blend,srgba,699192
Original,Crystal.dds,2048,2048,DXT1,Blend,srgba,2796288

Detailed,Trees&VegAtlas02.dds,4096,4096,None,Blend,srgba,67108992
Compressed,Trees&VegAtlas02.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,Trees&VegAtlas02.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,rock01_N.dds,512,512,None,Blend,srgba,1048704
Original,rock01_N.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,TreesAtlas01_adjusted-grey.dds,2048,2048,None,Blend,srgba,16777344
Compressed,TreesAtlas01_adjusted-grey.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,TreesAtlas01_adjusted-grey.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,SpriteGrass-Greener.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrass-Greener.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,GrassSpikey01_REDDER_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,GrassSpikey01_REDDER_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,tusks.dds,2048,2048,None,Blend,srgba,16777344
Compressed,tusks.dds,1024,1024,DXT1,Undefined,srgb,699192
Original,tusks.dds,2048,2048,DXT1,Undefined,srgb,2796160

Detailed,SpriteGrassGreen01.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassGreen01.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,SpriteGrassYellow01.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassYellow01.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Grass_Crumpled01_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,Grass_Crumpled01_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,SpriteGrassBlue.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassBlue.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,PlantGround.dds,1024,1024,None,Blend,srgba,4194432
Original,PlantGround.dds,1024,1024,DXT1,Blend,srgba,699184

Detailed,SPRITEGroundPlantTwiggyGrass01.dds,1024,1024,None,Blend,srgba,4194432
Original,SPRITEGroundPlantTwiggyGrass01.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Tree_Spikey_DIF.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Tree_Spikey_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Tree_Spikey_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,SPRITEGroundPlantFluffyGrass01.dds,1024,1024,None,Blend,srgba,4194432
Original,SPRITEGroundPlantFluffyGrass01.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,rock01.dds,512,512,None,Blend,srgba,1048704
Original,rock01.dds,512,512,DXT1,Blend,srgba,174848

Detailed,clutter.dds,4096,4096,None,Blend,srgba,67108992
Compressed,clutter.dds,2048,2048,DXT1,Blend,srgba,2796344
Original,clutter.dds,4096,4096,DXT1,Blend,srgba,11184896

Detailed,TreesAtlas01.dds,2048,2048,None,Blend,srgba,16777344
Compressed,TreesAtlas01.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,TreesAtlas01.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Foliage_CoralGrass01_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Foliage_CoralGrass01_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Foliage_CoralGrass01_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Foliage_CoralGrass01_LIGHTBLUE_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,Foliage_CoralGrass01_LIGHTBLUE_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,DeadBark.dds,512,512,None,Blend,srgba,1048704
Original,DeadBark.dds,512,512,DXT1,Undefined,srgb,174848

Detailed,GrassSprites01.dds,4096,1024,None,Blend,srgba,16777344
Compressed,GrassSprites01.dds,2048,512,DXT3,Blend,srgba,1398288
Original,GrassSprites01.dds,4096,1024,DXT3,Blend,srgba,5592192

Detailed,SpriteRedFlowers.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteRedFlowers.dds,1024,1024,DXT3,Blend,srgba,1397888

Detailed,SpriteGrassGreenOriginal02.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassGreenOriginal02.dds,1024,1024,DXT3,Blend,srgba,1398208

Detailed,Foliage_CoralGrass01_BLACKER_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Foliage_CoralGrass01_BLACKER_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Foliage_CoralGrass01_BLACKER_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Grass_Crumpled01GREEN_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,Grass_Crumpled01GREEN_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

