Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Original,Cannibal_Camp_G_Trophy_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,CannibalCamp_SpikeyCage_DIF_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,CannibalCamp_SpikeyCage_DIF_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,Bench_Crossbow_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Bench_Crossbow_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Bench Machinery_Diff_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Bench Machinery_Diff_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,BENCH Robot Limbs_DIF.dds,512,512,None,Blend,srgba,1048704
Original,BENCH Robot Limbs_DIF.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Biofuel_Distillery_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Biofuel_Distillery_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,chainleathermachinebench_atlas_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,chainleathermachinebench_atlas_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,ResearchBench_d.dds,2048,2048,None,Blend,srgba,16777344
Original,ResearchBench_d.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Robotic_Bench_Ancient_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Robotic_Bench_Ancient_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Robotic_Bench_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Robotic_Bench_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Smithy_Bench_D.dds,2048,2048,None,Blend,srgba,16777344
Original,Smithy_Bench_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,storages_D_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,storages_D_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,texBench_D.dds,2048,2048,None,Blend,srgba,16777344
Original,texBench_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,farm_crops_diffuse.dds,2048,1024,None,Blend,srgba,8388736
Original,farm_crops_diffuse.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,hemp_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,hemp_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,door_n.dds,512,512,None,Blend,srgba,1048704
Original,door_n.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,Door_Texture.dds,512,512,None,Blend,srgba,1048704
Original,Door_Texture.dds,512,512,DXT5,Blend,srgba,349680

Detailed,bed_tex.dds,512,512,None,Blend,srgba,1048704
Original,bed_tex.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Bin-of-ScreamerHeadsDIF_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,Bin-of-ScreamerHeadsDIF_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,chest1.dds,512,512,None,Blend,srgba,1048704
Original,chest1.dds,512,512,DXT5,Blend,srgba,349680

Detailed,chest2.dds,512,512,None,Blend,srgba,1048704
Original,chest2.dds,512,512,DXT5,Blend,srgba,349680

Detailed,chest.dds,512,512,None,Blend,srgba,1048704
Original,chest.dds,512,512,DXT5,Blend,srgba,349680

Detailed,ConcreteBarrier_01_D.dds,1024,1024,None,Blend,srgba,4194432
Original,ConcreteBarrier_01_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,engcrate01_d_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,engcrate01_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,engcrate01_m.dds,256,256,None,Blend,srgba,262272
Original,engcrate01_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,engcrate08_d_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,engcrate08_d_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,medicrate_d.dds,1024,1024,None,Blend,srgba,4194432
Original,medicrate_d.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Peeler_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,Peeler_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Peeler_Metal_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,Peeler_Metal_HI.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,scicrate01_d_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,scicrate01_d_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,scicrate01_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate01_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scicrate03_d_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,scicrate03_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,scicrate03_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate03_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scicrate05_d.dds,512,512,None,Blend,srgba,1048704
Original,scicrate05_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,scicrate05_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate05_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scisafe_d.dds,512,512,None,Blend,srgba,1048704
Original,scisafe_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Street_Lamp_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Street_Lamp_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,20051009_0052_0001.dds,1024,1024,None,Blend,srgba,4194432
Original,20051009_0052_0001.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,ATLAS_interior.dds,512,4096,None,Blend,srgba,8388736
