Copy,DupTest,Mkdir,sFILE_NAME,sBASENAME_NO_EXT,sBASENAME,sEXT,sLOWERCASE_EXT,sTARGET_PATH,sEXISTING_FILE
True,False,True,/home/toazd/github/personal/scripts/bash/misc/generate-random-modarchive-playlist.sh,generate-random-modarchive-playlist,generate-random-modarchive-playlist.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/sort-and-remove-dupes.sh,sort-and-remove-dupes,sort-and-remove-dupes.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/compare-two-equal-paths.sh,compare-two-equal-paths,compare-two-equal-paths.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/trap-ctrl-c-SIGINT.sh,trap-ctrl-c-SIGINT,trap-ctrl-c-SIGINT.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/debug-output.csv,debug-output,debug-output.csv,csv,csv,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/cpu-usage.sh,cpu-usage,cpu-usage.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/MkTemp.sh,MkTemp,MkTemp.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore
True,False,True,/home/toazd/github/personal/scripts/bash/misc/GenerateRandomAlphaNumericString.sh,GenerateRandomAlphaNumericString,GenerateRandomAlphaNumericString.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/misc/pseudo-random-alphanumeric.sh,pseudo-random-alphanumeric,pseudo-random-alphanumeric.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/misc/exclude-lines.sh,exclude-lines,exclude-lines.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/linux-fromsource/get-verified-tarball.sh,get-verified-tarball,get-verified-tarball.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/linux-fromsource/parse_options.sh,parse_options,parse_options.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/linux-fromsource/linux-fromsource.sh,linux-fromsource,linux-fromsource.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/linux-fromsource/make_menu.sh,make_menu,make_menu.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,False,True,/home/toazd/github/personal/scripts/bash/linux-fromsource/old_snippets.sh,old_snippets,old_snippets.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
True,True,True,/home/toazd/github/personal/scripts/bash/linux-fromsource/README.md,README,README.md,md,md,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
